"homograph"	"wordid"	"sentence"	"start"	"end"
"increase"	"increase_vrb"	"At the same time government of Assam decided to increase the undergraduate seats from 65 to 100."	48	56
"increase"	"increase_vrb"	"This was predicted and then confirmed to increase the enantioselectivity and activity of metal complexes of SEGPHOS."	41	49
"increase"	"increase_nou"	"The first NZ Forest Act of 1874 was largely in response to concern about the increase in coastal dune invasions."	77	85
"increase"	"increase_nou"	"The latest general speed increase was in March 2015."	25	33
"increase"	"increase_vrb"	"Their aim is to increase the consumption of bread and cereals."	16	24
"increase"	"increase_nou"	"However, despite the transmission of the matches gave them an increase in ratings, their fate was sealed."	62	70
"increase"	"increase_nou"	"First, the tempo marking ""Etwas rascher"" marks an increase in speed and rhythmic energy."	50	58
"increase"	"increase_nou"	"This causes an increase in the intracranial blood volume, thereby causing an increase in intracranial pressure."	15	23
"increase"	"increase_nou"	"On November 4, 2008, voters in King County (Seattle) approved a 0.5% increase in the sales tax."	69	77
"increase"	"increase_nou"	"Elk Lake School District received a 2.82% increase, which was the highest increase in BEF in Susquehanna County."	74	82
"increase"	"increase_vrb"	"As urban universities increase in size and complexity, they hire a large staff of city residents."	22	30
"increase"	"increase_vrb"	"Refining copper into brass would reduce imports of brass and increase income from exports."	61	69
"increase"	"increase_nou"	"The increase in population and subsequent expansion in irrigated agriculture, and industrial growth necessitated the exploitation of more water resources."	4	12
"increase"	"increase_vrb"	"Since consumption of other goods increase, the embodied fuel used in the production of those goods would increase as well."	105	113
"increase"	"increase_nou"	"Thus, oxidation is better defined as an increase in oxidation number, and reduction as a decrease in oxidation number."	40	48
"increase"	"increase_vrb"	"Humidity starts to increase from late March."	19	27
"increase"	"increase_vrb"	"By reducing the level of SLR, the RBI can increase liquidity with the commercial banks, resulting in increased investment."	42	50
"increase"	"increase_nou"	"An increase in with time (denoted by ) can take place in three ways."	3	11
"increase"	"increase_vrb"	"In captivity, this may increase to 17, with an unconfirmed record of 19."	23	31
"increase"	"increase_nou"	"One hundred fifty Pennsylvania school districts received the base 2% increase."	69	77
"increase"	"increase_vrb"	"Poor roads increase the cost of doing business, reduce payments to farmers and increase prices to consumers."	79	87
"increase"	"increase_vrb"	"Their obvious incompetence in more mundane areas of life only seems to increase their glamour."	71	79
"increase"	"increase_nou"	"In 2007, 193 Medway High School students took the SAT, an increase from previous years."	58	66
"increase"	"increase_nou"	"The three-year increase in income for a typical irrigation pump user is 300 percent, or $600."	15	23
"increase"	"increase_vrb"	"As with the inertial approach, fusion is initiated by rapidly squeezing the target to greatly increase fuel density and temperature."	94	102
"increase"	"increase_vrb"	"Levels above or below this natural homeostasis of vitamin D increase mortality."	60	68
"increase"	"increase_vrb"	"Depending on the type of sensor, the resistance will either increase or decrease."	60	68
"increase"	"increase_nou"	"However, the price of land goes up with every increase in something benefiting the landlord."	46	54
"increase"	"increase_vrb"	"Researchers have suggested that early hominins were thus under evolutionary pressure to increase their capacity to create and use tools."	88	96
"increase"	"increase_vrb"	"Until 1935 the Familienblatt could increase its circulation to 36,500."	35	43
"increase"	"increase_vrb"	"After viewing the museum, the children's hatred of the Japanese people was reported to increase significantly."	87	95
"increase"	"increase_nou"	"In the 2013-2014 school year, the Dunmore School District received a 2.2% increase to $4,056,096 in Pennsylvania Basic Education Funding."	74	82
"increase"	"increase_nou"	"The 2010 U.S. population within 50 miles (80 km) was 1,079,868 (increase of 13.8 percent)."	64	72
"increase"	"increase_vrb"	"Increase employment share of Muslims, particularly where there is great deal of public dealing."	0	8
"increase"	"increase_nou"	"The population was 561 in the 2013 Census, an increase of 30 from 2006."	46	54
"increase"	"increase_nou"	"In chess engines, NegaScout has typically given a 10 percent performance increase."	73	81
"increase"	"increase_vrb"	"In addition, nodes can be easily removed and added to reduce production downtime, increase network flexibility, and decrease troubleshooting time."	82	90
"increase"	"increase_nou"	"This in turn led to an increase in crime and prostitution that has continued to this day."	23	31
"increase"	"increase_nou"	"In 2010, Union Area School District Administration reported an increase to $1,022,615 in the unreserved-undesignated fund balance."	63	71
"increase"	"increase_vrb"	"Overidentification of students, in order to increase state funding, has been an issue in the Commonwealth."	44	52
"increase"	"increase_nou"	"Rooney experienced a ""200 percent increase in sales"" after being featured on the show."	34	42
"increase"	"increase_vrb"	"Natural selection based on behaviors that increase hunting success and energetic efficiency would bear a positive influence on reproductive success."	42	50
"increase"	"increase_vrb"	"Any battery and additional electronics may increase the size and weight of the headphones compared to regular headphones."	43	51
"increase"	"increase_vrb"	"Steering is via a 2:1 ratio system of pulleys that reduce the force required and increase control authority."	81	89
"increase"	"increase_vrb"	"Likewise, to concentrate on not smoking is to increase your preoccupation with smoking."	46	54
"increase"	"increase_nou"	"Thanks to the increase of whalers and clipper ships, Americans began to travel all over the world for commercial reasons."	14	22
"increase"	"increase_nou"	"This was a 6.11% increase yielding a $189,481 increase over the previous school year funding."	46	54
"increase"	"increase_nou"	"For countries with above-replacement fertility (greater than 2.1 children per woman), population momentum represents natural increase to the population."	125	133
"increase"	"increase_vrb"	"Preliminary CBO estimates indicate that the bill would increase direct spending by $440 billion over the next ten years."	55	63
"increase"	"increase_vrb"	"The use of antibiotics to increase the growth of pigs is most studied of all livestock."	26	34
"increase"	"increase_vrb"	"This effect will increase over the years and centuries to come."	17	25
"increase"	"increase_vrb"	"The goal was to increase truck sales ""from today's 280,000 to 415,000 by 2014""."	16	24
"increase"	"increase_nou"	"367,000 tickets were sold, a 10% increase on 2011 sales."	33	41
"increase"	"increase_nou"	"An increase (decrease) in labour market frictions will shift the curve outwards (inwards)."	3	11
"increase"	"increase_nou"	"The increase in consumption would be fueled by the 1.7% increase in disposable (after-tax) personal income."	56	64
"increase"	"increase_vrb"	"SeedsSeed multiplication may be used for the development of new cultivars or to increase the yield of native species."	80	88
"increase"	"increase_vrb"	"To increase the production of hydrogen, several tracks are being followed by the researchers."	3	11
"increase"	"increase_vrb"	"In response the company says it has strategies in place to produce success and increase its subscription base significantly."	79	87
"increase"	"increase_vrb"	"He designed it to increase job enrichment for employees."	18	26
"increase"	"increase_vrb"	"As power ratings increase, transformers are often cooled by forced-air cooling, forced-oil cooling, water-cooling, or combinations of these."	17	25
"increase"	"increase_nou"	"The secession issue eventually died down from the nominal tax increase."	62	70
"increase"	"increase_nou"	"The fire spread because of angry rioters protested an increase on the cattle tax."	54	62
"increase"	"increase_vrb"	"Some have criticized Plan Patria Segura calling it a failure after crime continued to increase following its implementation."	86	94
"increase"	"increase_nou"	"The rising political tensions resulted in a sharp jump in cocoa prices, up to an increase of 10 percent."	81	89
"increase"	"increase_nou"	"The almost fivefold increase in readership was a remarkable business turnaround, but it was not achieved without difficulty."	20	28
"increase"	"increase_vrb"	"Ridership continued to increase, with 1.2 million in 191, and up to 2.16 million in 1945."	23	31
"increase"	"increase_vrb"	"Gold nanoparticle bioconjugates are tracers used to increase the sensitivity of the assay."	52	60
"increase"	"increase_nou"	"The increase in secular literature at this time encouraged the spread of lending libraries, especially the commercial subscription libraries."	4	12
"increase"	"increase_nou"	"Dvorak classifications began on July 30 in response to an increase in vertical depth and organization of the convection."	58	66
"increase"	"increase_nou"	"The result is a 16% increase in dividends to the company shareholders."	20	28
"increase"	"increase_vrb"	"Land use change like deforestation can increase greenhouse gases through burning biomass."	39	47
"increase"	"increase_vrb"	"The latter legislation served to greatly increase the acquisition of waterfowl habitat in California."	41	49
"increase"	"increase_vrb"	"Dallas would increase their lead in the second quarter with a 2-yard touchdown run from running back Marion Barber."	13	21
"increase"	"increase_nou"	"These species, in turn, support an increase in raptors."	35	43
"increase"	"increase_nou"	"On the other hand, advertising can lead to an increase in sales thus revenue over a period of time."	46	54
"increase"	"increase_vrb"	"Sometime they will call even fake companies just to increase the number of oncampus companies."	52	60
"increase"	"increase_vrb"	"CiU supported changes to the Catalan Statute of Autonomy to further increase Catalonia's autonomy."	68	76
"increase"	"increase_nou"	"Lust murderers are likely to repeat the crimes over a long period of time with increase of aggressive paraphilia process."	79	87
"increase"	"increase_nou"	"Such an increase has never happened again."	8	16
"increase"	"increase_nou"	"This was an increase from the previous week's ""Where No One Has Gone Before"" which received a rating of 10.5."	12	20
"increase"	"increase_nou"	"Actual capital investment 430 million yuan, an increase of 72.3%, actual domestic capital 317 million yuan, an increase of 229%."	47	55
"increase"	"increase_nou"	"This amount was a $233,290,000 increase (4.6%) over the enacted State appropriation for 2010-2011."	31	39
"increase"	"increase_nou"	"Soon after returning to England, Phips joined back up with Increase Mather and again supported him in dealing with Whitehall."	59	67
"increase"	"increase_nou"	"However, 6 out of 10 workers are part of the informal economy, thus limiting the impact of this increase."	96	104
"increase"	"increase_nou"	"These B-29s represented a significant increase in performance over the standard variants."	38	46
"increase"	"increase_nou"	"The surprise leads to an increase in production and employment throughout the economy."	25	33
"increase"	"increase_nou"	"Consider what happens when TCP sends a segment after a sharp increase in delay."	61	69
"increase"	"increase_vrb"	"At photon energies greater than 700 keV, the index of refraction starts to increase again."	75	83
"increase"	"increase_nou"	"Even after cardiac bypass surgery, no increase in mortality is seen in the overweight and obese."	38	46
"increase"	"increase_nou"	"Since then, Mousehole has seen an increase in second home ownership and a corresponding decline in resident population."	34	42
